"행정구역별(시도)","연령별",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시도)","연령별",아동(12세 이하)-계,단일보육상태-계,부모,조부모(친가외가),기타 가족 및 친인척,가사 도우미베이비시터,혼자 또는 다른아동과 지냄,어린이집,유치원,지역아동센터,방과후학교 초등돌봄교실,학원(예체능포함 놀이학교 영어유치원등),기타,복합보육상태-계,아동의부모+어린이집,아동의부모+방과후학교초등돌봄교실,아동의부모+유치원,아동의부모+아동의 조부모,방과후학교 초등돌봄교실+지역아동센터,복합수단기타
"부산광역시","1세",17181,13981,10216,1397,75,178,-,2111,-,-,-,-,4,3200,1576,-,-,953,-,671
"부산광역시","2세",19408,12883,5972,1085,61,85,-,5680,-,-,-,-,-,6525,4882,-,-,353,-,1290
"부산광역시","3세",21365,13031,4936,1058,20,56,-,6356,590,-,-,-,15,8334,5404,-,644,397,-,1889
"부산광역시","4세",24325,14790,5571,1335,89,85,-,4193,3509,-,-,-,8,9535,3479,-,3556,433,-,2067
"부산광역시","5세",25798,16592,7040,1460,86,65,-,2888,5047,-,-,-,6,9206,1970,-,4634,444,-,2158
"부산광역시","6세",25810,16929,7916,1711,126,87,28,2104,4501,10,260,186,-,8881,1446,227,4144,429,12,2623
"부산광역시","7세",24994,16620,10564,2344,169,88,241,-,-,114,1611,1476,13,8374,-,1258,-,710,78,6328
"부산광역시","8세",27634,18303,11456,2510,157,112,405,-,-,194,1300,2162,7,9331,-,964,-,771,30,7566
"부산광역시","9세",26878,18621,11510,2535,287,54,646,-,-,168,860,2550,11,8257,-,565,-,652,69,6971
"부산광역시","10세",25251,17684,10466,2140,234,41,896,-,-,267,659,2977,4,7567,-,494,-,557,29,6487
"부산광역시","11세",24575,17800,10230,2152,236,36,1163,-,-,186,616,3181,-,6775,-,437,-,454,28,5856
"부산광역시","12세",21494,15629,8603,1506,274,75,1314,-,-,135,594,3114,14,5865,-,384,-,375,30,5076
"대구광역시","합계",234925,159762,88631,14347,1077,787,3514,17946,12284,1515,4106,15476,79,75163,15522,3836,10480,4771,206,40348
"대구광역시","0세",11735,10403,9620,430,17,131,-,183,-,-,-,-,22,1332,156,-,-,965,-,211
"대구광역시","1세",13108,10783,8245,772,54,82,-,1630,-,-,-,-,-,2325,1267,-,-,686,-,372
"대구광역시","2세",14998,9742,4482,752,14,39,-,4455,-,-,-,-,-,5256,4014,-,-,292,-,950
"대구광역시","3세",16275,10015,3853,771,61,62,-,4818,450,-,-,-,-,6260,4440,-,333,215,-,1272
"대구광역시","4세",19008,11603,4112,746,68,75,-,3686,2909,-,-,-,7,7405,3251,-,2644,197,-,1313
"대구광역시","5세",19700,12361,4894,1085,47,36,-,1809,4484,-,-,-,6,7339,1372,-,4389,304,-,1274
"대구광역시","6세",19995,13335,5568,1396,54,111,59,1365,4441,28,133,180,-,6660,1022,131,3114,269,-,2124
"대구광역시","7세",19649,12503,8322,1497,99,55,158,-,-,261,849,1255,7,7146,-,1174,-,486,17,5469
"대구광역시","8세",21397,13871,8367,1636,119,75,325,-,-,219,928,2202,-,7526,-,709,-,414,59,6344
